FL100,19/09/2017 20:00,20:00,BOEING,2015,773,300,YES,DUBAI,BOSTON,15,150,EMIRATES
FL101,19/09/2017 23:00,23:00,AIRBUS,2016,777,250,NO,MUMBAI,CHICAGO,23,230,EMIRATES
FL102,20/09/2017 20:00,20:00,AIRBUS,2015,777,450,YES,DUBAI,CHICAGO,15,150,QATAR
FL103,20/09/2017 23:00,23:00,BOEING,2016,773,300,NO,MUMBAI,BOSTON,20,200,QATAR
FL104,21/09/2017 20:00,20:00,BOEING,2015,773,200,YES,DUBAI,BOSTON,12,120,JETAIRWAYS
FL105,21/09/2017 23:00,23:00,AIRBUS,2016,777,250,YES,DOHA,NEWYORK,15,150,JETAIRWAYS
FL106,22/09/2017 20:00,20:00,AIRBUS,2015,777,450,YES,DUBAI,NEWYORK,16,160,JETAIRWAYS
FL107,22/09/2017 23:00,23:00,BOEING,2016,773,350,NO,DOHA,BOSTON,12,120,BRITISHAIRWAYS
FL108,23/09/2017 20:00,20:00,BOEING,2015,773,300,NO,DUBAI,CHICAGO,13,130,BRITISHAIRWAYS
FL109,23/09/2017 23:00,23:00,AIRBUS,2016,777,450,NO,MUMBAI,CHICAGO,18,180,AIRINDIA
FL110,24/09/2017 03:00,03:00,AIRBUS,2015,777,450,YES,DUBAI,LOSANGELES,15,150,AIRINDIA
FL111,24/09/2017 23:00,23:00,BOEING,2016,773,300,YES,MUMBAI,LOSANGELES,22,220,EMIRATES
FL112,25/09/2017 03:00,03:00,BOEING,2015,773,500,NO,DUBAI,LOSANGELES,14,140,EMIRATES
FL113,25/09/2017 23:00,23:00,AIRBUS,2016,777,300,NO,DOHA,BOSTON,13,130,QATAR
FL114,26/09/2017 23:00,23:00,AIRBUS,2017,777,300,NO,DOHA,BOSTON,13,130,QATAR
FL115,27/09/2017 23:00,23:00,AIRBUS,2016,777,300,NO,DOHA,BOSTON,13,130,QATAR
FL116,28/09/2017 23:00,23:00,AIRBUS,2016,777,300,NO,DOHA,BOSTON,13,130,QATAR
FL117,29/09/2017 23:00,23:00,AIRBUS,2016,777,300,NO,DUBAI,BOSTON,13,130,EMIRATES
FL118,29/09/2017 20:00,20:00,AIRBUS,2016,777,300,NO,DUBAI,BOSTON,13,130,JETBLUE
FL119,29/09/2017 21:00,21:00,AIRBUS,2016,777,300,NO,DUBAI,BOSTON,13,130,EMIRATES
FL120,29/09/2017 23:00,23:00,AIRBUS,2016,777,300,NO,DUBAI,BOSTON,13,130,JETAIRWAYS
