FL100,19/09/2017,20:00,19/09/2016,2015,12,773,50,BOEING,DUBAI,BOSTON,YES
Fl101,19/09/2017,23:00,19/09/2019,2016,23,777,45,AIRBUS,MUMBAI,CHICAGO,YES
FL102,20/09/2017,20:00,19/09/2020,2015,10,777,45,AIRBUS,DUBAI,CHICAGO,NO
FL103,20/09/2017,23:00,19/09/2015,2016,20,773,50,BOEING,MUMBAI,BOSTON,NO
FL104,21/09/2017,20:00,19/09/2014,2015,12,773,50,BOEING,DUBAI,BOSTON,YES
FL105,21/09/2017,23:00,19/09/2015,2016,15,777,45,AIRBUS,DOHA,NEWYORK,YES
FL106,22/09/2017,20:00,19/09/2019,2015,16,777,70,AIRBUS,DUBAI,NEWYORK,NO
FL107,22/09/2017,23:00,19/09/2020,2016,12,773,50,BOEING,DOHA,BOSTON,NO
FL108,23/09/2017,20:00,19/09/2018,2015,13,773,70,BOEING,DUBAI,CHICAGO,YES
FL109,23/09/2017,23:00,19/09/2018,2016,18,777,45,AIRBUS,MUMBAI,CHICAGO,YES
FL110,24/09/2017,20:00,19/09/2020,2015,15,777,45,AIRBUS,DUBAI,LOSANGELES,NO
FL111,24/09/2017,23:00,19/09/2015,2016,22,773,70,BOEING,MUMBAI,LOSANGELES,NO
FL112,25/09/2017,20:00,19/09/2015,2015,14,773,50,BOEING,DUBAI,LOSANGELES,YES
FL113,25/09/2017,23:00,19/09/2014,2016,13,777,70,AIRBUS,DOHA,BOSTON,YES
